"id","name","brand","address.addr1","address.city","address.region","address.country","latitude","longitude","check_in_date","check_in","check_out_date","check_out","event","nights","sale_price","taxes","average_rate","total_price","url"
"ad3fc1dd-67e9-4a6e-a74c-ef798dd4f67d","Thompson Nashville","Hyatt","401 11th Ave","Nashville","TN","US",36.152618,-86.783657,"2023-06-09","Fri, Jun 9","2023-06-11","Sun, Jun 11","CMA Fest",2,634,198,733,1466,"https://www.gohoken.com/hotels/ad3fc1dd-67e9-4a6e-a74c-ef798dd4f67d/f4cfe934-5a6a-4016-8f33-fd4100518159"
"10b2399e-6b75-4474-8f73-d12d3f72a104","Hyatt Regency Cincinnati","Hyatt","151 W 5th St","Cincinnati","OH","US",39.10055,-84.5157,"2023-06-30","Fri, Jun 30","2023-07-01","Sat, Jul 1","The Eras Tour Taylor Swift Cincinnati",1,469,85,554,554,"https://www.gohoken.com/hotels/10b2399e-6b75-4474-8f73-d12d3f72a104/666a3656-0402-4e37-b362-26924e08fde0"
"ea0306da-7fce-4004-8c59-7dc35912dd3b","Hyatt Regency Tulsa Downtown","Hyatt","100 E 2nd St","Tulsa","OK","US",36.154025,-95.991095,"2023-07-27","Thu, Jul 27","2023-07-28","Fri, Jul 28","The Celebration Tour Madonna Tulsa ",1,349,57,406,406,"https://www.gohoken.com/hotels/ea0306da-7fce-4004-8c59-7dc35912dd3b/0e15edff-5d7f-4488-a000-f73b8174dcb0"
"8e62cee3-d4c1-408a-b1fe-a8a0a413421f","Hyatt Regency Atlanta","Hyatt","265 Peachtree St NE","Atlanta","GA","US",33.76153,-84.38672,"2023-08-11","Fri, Aug 11","2023-08-12","Sat, Aug 12","Beyonce Renaissance World Tour Atlanta",1,271,50,321,321,"https://www.gohoken.com/hotels/8e62cee3-d4c1-408a-b1fe-a8a0a413421f/e009e9da-7815-4e45-a149-310fb15ad91b"
"cda9a8d0-1d39-495b-9b9f-7a791d9e87bd","Hyatt Regency Lost Pines Resort and Spa","Hyatt","575 Hyatt Lost Pines Rd","Cedar Creek","TX","US",30.16159,-97.45233,"2023-10-19","Thu, Oct 19","2023-10-23","Mon, Oct 23","Formula 1 Austin",4,1035,763,1225,4903,"https://www.gohoken.com/hotels/cda9a8d0-1d39-495b-9b9f-7a791d9e87bd/feef5f44-2f94-4853-ba3c-28c03c09c12b"
"cda9a8d0-1d39-495b-9b9f-7a791d9e87bd","Hyatt Regency Lost Pines Resort and Spa","Hyatt","575 Hyatt Lost Pines Rd","Cedar Creek","TX","US",30.16159,-97.45233,"2023-10-20","Fri, Oct 20","2023-10-22","Sun, Oct 22","Formula 1 Austin",2,920,350,1095,2190,"https://www.gohoken.com/hotels/cda9a8d0-1d39-495b-9b9f-7a791d9e87bd/feef5f44-2f94-4853-ba3c-28c03c09c12b"
"cda9a8d0-1d39-495b-9b9f-7a791d9e87bd","Hyatt Regency Lost Pines Resort and Spa","Hyatt","575 Hyatt Lost Pines Rd","Cedar Creek","TX","US",30.16159,-97.45233,"2023-10-20","Fri, Oct 20","2023-10-23","Mon, Oct 23","Formula 1 Austin",3,895,514,1066,3199,"https://www.gohoken.com/hotels/cda9a8d0-1d39-495b-9b9f-7a791d9e87bd/feef5f44-2f94-4853-ba3c-28c03c09c12b"
"0aa41253-50f5-4a57-bde0-d48e74077db6","Hotel ZOSO","Independent","150 S Indian Canyon Dr","Palm Springs","CA","US",33.822857,-116.545454,"2023-04-13","Thu, Apr 13","2023-04-16","Sun, Apr 16","Festival Season in Coachella, CA",3,397,331,507,1522,"https://www.gohoken.com/hotels/0aa41253-50f5-4a57-bde0-d48e74077db6/52035d4a-4c3c-4a98-b2b1-aff85df91d2d"
"34c8fd04-2737-4d81-93dc-54bd3bd41130","Colony Palms Hotel","Independent","572 N Indian Canyon Dr","Palm Springs","CA","US",33.83154,-116.5453,"2023-04-14","Fri, Apr 14","2023-04-16","Sun, Apr 16","Festival Season in Coachella, CA",2,925,376,1113,2226,"https://www.gohoken.com/hotels/34c8fd04-2737-4d81-93dc-54bd3bd41130/52035d4a-4c3c-4a98-b2b1-aff85df91d2d"
"0aa41253-50f5-4a57-bde0-d48e74077db6","Hotel ZOSO","Independent","150 S Indian Canyon Dr","Palm Springs","CA","US",33.822857,-116.545454,"2023-04-20","Thu, Apr 20","2023-04-23","Sun, Apr 23","Festival Season in Coachella, CA",3,397,331,507,1522,"https://www.gohoken.com/hotels/0aa41253-50f5-4a57-bde0-d48e74077db6/52035d4a-4c3c-4a98-b2b1-aff85df91d2d"
"22b28211-f29e-47b7-93b0-853d9392b226","Korakia Pensione","Independent","257 S Patencio Rd","Palm Springs","CA","US",33.820249,-116.55137,"2023-04-20","Thu, Apr 20","2023-04-23","Sun, Apr 23","Festival Season in Coachella, CA",3,823,505,991,2974,"https://www.gohoken.com/hotels/22b28211-f29e-47b7-93b0-853d9392b226/52035d4a-4c3c-4a98-b2b1-aff85df91d2d"
"145a0b10-a646-4c30-9442-26e0cfd53c01","Graduate Providence","Independent","11 Dorrance St","Providence","RI","US",41.824365,-71.413375,"2023-05-28","Sun, May 28","2023-05-29","Mon, May 29","Brown University Graduation",1,529,79,608,608,"https://www.gohoken.com/hotels/145a0b10-a646-4c30-9442-26e0cfd53c01/7b0dbf61-8990-4d79-b8a0-25e6cd3a94e2"
"228a53a2-d9f0-4336-921a-06a87c80b12e","Hutton Hotel","Independent","1808 W End","Nashville","TN","US",36.152905,-86.797045,"2023-06-09","Fri, Jun 9","2023-06-11","Sun, Jun 11","CMA Fest",2,459,188,553,1106,"https://www.gohoken.com/hotels/228a53a2-d9f0-4336-921a-06a87c80b12e/f4cfe934-5a6a-4016-8f33-fd4100518159"
"257092b6-05a0-4293-bc2d-0d4969d23ac6","The Maxwell Hotel - A Staypineapple Hotel","Independent","300 Roy St","Seattle","WA","US",47.625655,-122.351145,"2023-07-18","Tue, Jul 18","2023-07-19","Wed, Jul 19","The Celebration Tour Madonna Seattle ",1,507,110,617,617,"https://www.gohoken.com/hotels/257092b6-05a0-4293-bc2d-0d4969d23ac6/9e25b2bd-333a-4b89-91b9-bf302e59e120"
"8d0a9460-50f7-4273-9cfd-01a8e34373e4","The Mediterranean Inn","Independent","425 Queen Anne Ave N","Seattle","WA","US",47.62304,-122.35696,"2023-07-18","Tue, Jul 18","2023-07-19","Wed, Jul 19","The Celebration Tour Madonna Seattle ",1,399,92,491,491,"https://www.gohoken.com/hotels/8d0a9460-50f7-4273-9cfd-01a8e34373e4/9e25b2bd-333a-4b89-91b9-bf302e59e120"
"3984c175-9c1f-4ff1-b8a1-6caa3ae05f6b","Graduate Minneapolis","Independent","615 Washington Ave SE","Minneapolis","MN","US",44.97376,-93.23008,"2023-07-20","Thu, Jul 20","2023-07-21","Fri, Jul 21","Beyonce Renaissance World Tour Minneapolis ",1,199,28,227,227,"https://www.gohoken.com/hotels/3984c175-9c1f-4ff1-b8a1-6caa3ae05f6b/89828300-8792-4202-a07b-bb1aee1682f2"
"d5f518b4-b7b9-4bb2-95da-8224932a5940","The Inn at 97 Winder","Independent","97 Winder St","Detroit","MI","US",42.34162,-83.052061,"2023-07-26","Wed, Jul 26","2023-07-27","Thu, Jul 27","Beyonce Renaissance World Tour Detroit",1,209,14,223,223,"https://www.gohoken.com/hotels/d5f518b4-b7b9-4bb2-95da-8224932a5940/41d4bb36-b19d-43d9-a8a2-444cc3cd57e1"
"d5f518b4-b7b9-4bb2-95da-8224932a5940","The Inn at 97 Winder","Independent","97 Winder St","Detroit","MI","US",42.34162,-83.052061,"2023-08-05","Sat, Aug 5","2023-08-06","Sun, Aug 6","The Celebration Tour Madonna Detroit",1,329,23,352,352,"https://www.gohoken.com/hotels/d5f518b4-b7b9-4bb2-95da-8224932a5940/ea55bc17-846e-4652-a73a-857d54f96801"
"b6a4f233-38f9-4d3c-b83f-7221d5781b6e","B Ocean Resort Fort Lauderdale","InSite Group","1140 Seabreeze Blvd","Fort Lauderdale","FL","US",26.108635,-80.106535,"2023-04-13","Thu, Apr 13","2023-04-16","Sun, Apr 16","Rock The Ocean's 2023 Tortuga Music Festival",3,999,389,1128,3386,"https://www.gohoken.com/hotels/b6a4f233-38f9-4d3c-b83f-7221d5781b6e/588a9418-1cee-4f29-97c1-441e3b560833"
"f998bccb-22eb-4ba1-805b-38bc322342e1","Kimpton Rowan Palm Springs","InterContinental Hotels Group PLC","100 W. Tahquitz Canyon Way","Palm Springs","CA","US",33.823183,-116.546983,"2023-04-13","Thu, Apr 13","2023-04-16","Sun, Apr 16","Festival Season in Coachella, CA",3,1287,788,1549,4649,"https://www.gohoken.com/hotels/f998bccb-22eb-4ba1-805b-38bc322342e1/52035d4a-4c3c-4a98-b2b1-aff85df91d2d"
"08cfcecd-3800-4d5c-bb36-4bac3bb2e9b8","Hotel Indigo Athens Downtown","InterContinental Hotels Group PLC","500 College Ave","Athens","GA","US",33.962325,-83.376302,"2023-04-21","Fri, Apr 21","2023-04-23","Sun, Apr 23","Athens Twilight",2,464,149,538,1077,"https://www.gohoken.com/hotels/08cfcecd-3800-4d5c-bb36-4bac3bb2e9b8/4f81cc44-0ccb-427b-8ca8-fad295eefcf6"
"c1dd1e5d-f6b5-4d5e-be89-1b2329ce85e9","Holiday Inn Louisville Airport - Fair/Expo, an IHG Hotel","InterContinental Hotels Group PLC","447 Farmington Ave","Louisville","KY","US",38.20169,-85.75198,"2023-07-17","Mon, Jul 17","2023-07-18","Tue, Jul 18","Beyonce Renaissance World Tour Louisville",1,166,26,192,192,"https://www.gohoken.com/hotels/c1dd1e5d-f6b5-4d5e-be89-1b2329ce85e9/41f19b67-bb93-4292-b746-33a27d234b59"
"1df0de40-ad71-431b-a5be-66b866640484","Holiday Inn St. Paul Downtown","InterContinental Hotels Group PLC","175 7th St W","St Paul","MN","US",44.944415,-93.103432,"2023-07-30","Sun, Jul 30","2023-07-31","Mon, Jul 31","The Celebration Tour Madonna St Paul ",1,243,36,279,279,"https://www.gohoken.com/hotels/1df0de40-ad71-431b-a5be-66b866640484/69d9233a-7638-4f4e-a103-df074a366f31"
"22a8fbbc-eaad-4a52-aa01-7cae9f1ef492","Kimpton Gray Hotel","InterContinental Hotels Group PLC","122 W Monroe St","Chicago","IL","US",41.880875,-87.63175,"2023-08-03","Thu, Aug 3","2023-08-06","Sun, Aug 6","Lollapalooza Chicago",3,509,265,597,1792,"https://www.gohoken.com/hotels/22a8fbbc-eaad-4a52-aa01-7cae9f1ef492/a30b81f1-d65f-402e-bddc-a8a114c0dc8e"
"22a8fbbc-eaad-4a52-aa01-7cae9f1ef492","Kimpton Gray Hotel","InterContinental Hotels Group PLC","122 W Monroe St","Chicago","IL","US",41.880875,-87.63175,"2023-08-03","Thu, Aug 3","2023-08-07","Mon, Aug 7","Lollapalooza Chicago",4,497,345,583,2333,"https://www.gohoken.com/hotels/22a8fbbc-eaad-4a52-aa01-7cae9f1ef492/a30b81f1-d65f-402e-bddc-a8a114c0dc8e"
